ACAtoAAA	ACCtoAAC	ACGtoAAG	ACTtoAAT	CCAtoCAA	CCCtoCAC	CCGtoCAG	CCTtoCAT	GCAtoGAA	GCCtoGAC	GCGtoGAG	GCTtoGAT	TCAtoTAA	TCCtoTAC	TCGtoTAG	TCTtoTAT	AAAtoACA	AACtoACC	AAGtoACG	AATtoACT	CAAtoCCA	CACtoCCC	CAGtoCCG	CATtoCCT	GAAtoGCA	GACtoGCC	GAGtoGCG	GATtoGCT	TAAtoTCA	TACtoTCC	TAGtoTCG	TATtoTCT	AAAtoAGA	AACtoAGC	AAGtoAGG	AATtoAGT	CAAtoCGA	CACtoCGC	CAGtoCGG	CATtoCGT	GAAtoGGA	GACtoGGC	GAGtoGGG	GATtoGGT	TAAtoTGA	TACtoTGC	TAGtoTGG	TATtoTGT	ACAtoAGA	ACCtoAGC	ACGtoAGG	ACTtoAGT	CCAtoCGA	CCCtoCGC	CCGtoCGG	CCTtoCGT	GCAtoGGA	GCCtoGGC	GCGtoGGG	GCTtoGGT	TCAtoTGA	TCCtoTGC	TCGtoTGG	TCTtoTGT	AAAtoATA	AACtoATC	AAGtoATG	AATtoATT	CAAtoCTA	CACtoCTC	CAGtoCTG	CATtoCTT	GAAtoGTA	GACtoGTC	GAGtoGTG	GATtoGTT	TAAtoTTA	TACtoTTC	TAGtoTTG	TATtoTTT	ACAtoATA	ACCtoATC	ACGtoATG	ACTtoATT	CCAtoCTA	CCCtoCTC	CCGtoCTG	CCTtoCTT	GCAtoGTA	GCCtoGTC	GCGtoGTG	GCTtoGTT	TCAtoTTA	TCCtoTTC	TCGtoTTG	TCTtoTTT
1	2	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	7	0	0	0	14	2	0	0	7	0	1	0	5	0	0	0	0	1	0	0	0	0	1	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	1	1	1	3
2	0	0	0	3	0	0	0	2	0	0	0	1	0	1	0	0	3	0	0	1	4	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	2	0	0	0	1	0	2	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	5	0	0	0	1	2	1	0	2	0	1	0	2	3
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	2	1	0	0	1	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1	0	2	1	1	0	0	0	0	1	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	23	14	96	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	14	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	17	8	45	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
3	2	0	2	4	9	3	8	2	9	1	6	2	0	1	2	0	1	0	0	0	2	0	0	0	0	0	1	0	2	0	0	1	2	1	0	5	4	5	4	3	0	5	1	1	1	0	0	1	1	1	1	2	5	2	2	2	5	1	5	0	1	0	0	1	1	3	2	1	3	3	0	1	1	3	2	0	0	0	0	17	7	8	4	12	8	15	10	25	22	11	14	5	9	4	5
1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	1	11	1	0	1	0	0	2	1	0	0	0	1	0	0	1	2	0
2	1	1	1	7	9	3	12	4	5	2	3	2	5	1	7	3	0	0	0	0	3	4	3	0	0	2	0	0	0	0	1	3	4	8	5	8	7	10	5	9	4	13	5	1	3	7	4	1	2	0	4	5	2	1	5	3	1	0	4	0	2	0	0	2	1	12	3	0	3	5	6	2	0	7	1	0	0	3	1	22	19	14	17	30	37	18	19	43	52	14	34	20	27	14	15
